company_n,group_name,nation
BAIC (Zhenjiang) Automobile,BAIC,china
BAIC Changzhou Automotive,BAIC,china
BAIC Guangzhou Automotive,BAIC,china
BAIC Guangzhou Automotive/BAIC Motor,BAIC,china
BAIC Guangzhou Automotive/Beijing New Energy Vehicle (BJEV),BAIC,china
BAIC Motor,BAIC,china
BAIC Motor/BAIC Guangzhou Automotive/Beijing New Energy Vehicle (BJEV),BAIC,china
BAIC Motor/Beijing Automotive Group Off-road vehicle Branch,BAIC,china
BAIC Motor/Beijing Automotive Off-road vehicle Branch,BAIC,china
BAIC Yinxiang Automobile,BAIC,china
Beijing Automobile Works,BAIC,china
Beijing Automotive Group Off-road vehicle Branch,BAIC,china
Beijing Automotive Off-road vehicle Branch,BAIC,china
Beijing New Energy Vehicle (BJEV),BAIC,china
Beijing North Huade Neoplan Bus,BAIC,china
Beijing Zhongda Yanjing Automobile,BAIC,china
Beiqi Borgward Automobile,BAIC,china
Chongqing Bisu Automobile,BAIC,china
Jiangxi Changhe Automobile Liability (-2013),BAIC,china
Jiangxi Changhe Automobile Liability (2014-),BAIC,china
BMW Brilliance Automotive Ltd.,BMW,europe
Brilliance Xinyuan Chongqing Automobile,Brilliance,china
Shenyang Brilliance Jinbei Automobile,Brilliance,china
Shenyang Jinbei Automotive,Brilliance,china
BYD Auto,BYD,china
Changsha BYD Bus,BYD,china
Guangzhou GAC BYD New Energy Bus,BYD,china
Baoding Changan Bus,Changan,china
Chongqing Changan Automobile,Changan,china
Chongqing Changan Automobile/Nanjing Changan Automobile,Changan,china
Hafei Motor,Changan,china
Hefei Changan Automobile,Changan,china
Jiangling Group Jingma Automobile(former Jiangxi Fire Reels Manufacturing Plant),Changan,china
Jiangling Jingma Automobile(former Jiangxi Fire Reels Manufacturing Plant),Changan,china
Nanjing Changan Automobile,Changan,china
Chery Automobile,Chery,china
Chery Automobile/Chery New Energy Automotive Technology,Chery,china
Chery New Energy Automotive Technology,Chery,china
Cowin Automobile,Chery,china
China National Heavy Duty Truck,China National Heavy Duty Truck,china
Beijing Benz-DaimlerChrysler Automotive,Daimler,europe
Fujian Benz Automotive,Daimler,europe
Fujian Benz Automotive Corporation,Daimler,europe
Fujian Daimler Automotive/Fujian Benz Automotive Corporation,Daimler,europe
Shenzhen DENZA New Energy Automotive,Daimler,europe
DFSK Motor,Dongfeng,china
Dongfeng Automobile,Dongfeng,china
Dongfeng Automobile/Zhengzhou Nissan Automobile,Dongfeng,china
Dongfeng Liuzhou Motor,Dongfeng,china
Dongfeng Motor,Dongfeng,china
Dongfeng Motor Corp. Passenger Vehicle,Dongfeng,china
Dongfeng Nanchong Automobile,Dongfeng,china
Dongfeng-Peugeot-Citroen Automobile/Dongfeng Motor Corp. Passenger Vehicle,Dongfeng,china
Zhengzhou Nissan Automobile/Dongfeng Motor Corp. Passenger Vehicle,Dongfeng,china
China FAW Corp.,FAW,china
China FAW Group Corp.,FAW,china
FAW Car/n.a.,FAW,china
FAW Haima Automobile,FAW,china
FAW Jilin Automobile,FAW,china
FAW-GM Hongta Yunnan Automobile,FAW,china
Tianjin FAW Xiali Automobile,FAW,china
Tianjin Tianqi Group Meiya Auto Mfg.,FAW,china
GAC Fiat Automobiles/GAC Fiat Chrysler Automobiles,FCA,europe
GAC Fiat Chrysler Automobiles,FCA,europe
Changan Ford Automobile,Ford,us
Jiangxi Jiangling Holdings Ltd.,Ford,us
Beiqi Foton Motor,Foton,china
DEARCC,Fujian Motor Industrial Co. (FJMG),china
Fujian Longma Motor,Fujian Motor Industrial Co. (FJMG),china
Fujian Motor Industry Yudo New Energy Automobile,Fujian Motor Industrial Co. (FJMG),china
Fujian New Forta Auto Industry,Fujian Motor Industrial Co. (FJMG),china
Soueast (Fujian) Motor Industrial,Fujian Motor Industrial Co. (FJMG),china
GAC Changfeng Motors,GAC,china
GAC Gonow Automobile,GAC,china
GAC Gonow Automobile/Guangzhou Automobile Group Motor (Hangzhou),GAC,china
GAC Motor,GAC,china
GAC Motor (Yichang Branch),GAC,china
Guangzhou Automobile Group Bus,GAC,china
Guangzhou Automobile Group Motor (Hangzhou),GAC,china
Guangzhou Automobile Motor (Hangzhou),GAC,china
Geely Holding,Geely Holding,china
Geely Holding Group,Geely Holding,china
Geely Sichuan Commercial Vehicle,Geely Holding,china
Geely Zhidou Electric Vehicles,Geely Holding,china
Kandi Electric Vehicles,Geely Holding,china
Kandi Electric Vehicles Group,Geely Holding,china
Volvo Car,Geely Holding,china
SAIC GM,GM,us
Great Wall Motor (GWM),Great Wall Motor,china
Haima (Zhengzhou) Automobile,Haima Automobile,china
Hawtai (Huatai) Automobile Group Ordos Branch,Hawtai (Huatai) Automobile,china
Hawtai (Huatai) Automobile Ordos Branch,Hawtai (Huatai) Automobile,china
Rongcheng Hawtai (Huatai) Automobile,Hawtai (Huatai) Automobile,china
Hebei Zhongxing Automobile Mfg.,Hebei Zhongxing Automobile Mfg.,china
Dongfeng Honda Automobile,Honda,japan
Guangqi Honda Automobile,Honda,japan
Guangqi Honda Automobile/Honda Automobile (China),Honda,japan
Honda Automobile (China)/Guangqi Honda Automobile,Honda,japan
Beijing Hyundai Motor,Hyundai,korea
Jiangxi Isuzu Motors Co.,Isuzu,japan
Anhui Ankai Automobile,JAC,china
